회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
한국프랜지공업,10100,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",http://www.kofco.com,,,
코스모신소재,5070,"이차전지양극활물질,기능성필름",http://www.cosmoamt.com,화학,전기차,GS
덕성,4830,"플라스틱레쟈,합성수지,합성피혁 제조,도매",http://www.duksung21.com,"섬유,의류,신발,호화품",,
신영증권,1720,증권업,http://www.shinyoung.com,증권,증권,
유진증권,1200,"유가증권 매매,중개,인수",http://www.eugenefn.com,,,
유화증권,3460,증권업,http://www.yhs.co.kr,증권,증권,
한신기계공업,11700,"공기압축기,공구류 제조,판매/오파",http://www.hanshin.co.kr,,,
코스모화학,5420,"이산화티타늄 및 부산물, 황산코발트 및 부산물",http://www.cosmochem.co.kr,화학,2차전지,GS
가온전선,500,"전력선,통신케이블 제조,도매,수출입",http://www.gaoncable.com,전기장비,전선,LS
S-Oil,10950,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",http://www.s-oil.com,석유와가스,정유,
한화에어로스페이스,12450,"항공기엔진,특수방산장비 제조/정비사업",http://www.hanwhaaerospace.co.kr/,우주항공과국방,CCTV＆DVR,한화
삼화전자공업,11230,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",http://www.samwha.co.kr,,,
현대제철,4020,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",http://www.hyundai-steel.com,철강,철강 주요종목,현대자동차
써니전자,4770,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",http://www.sunny.co.kr,전자장비와기기,,
현대비앤지스틸,4560,"스텐레스냉연강판,특수강 제조",http://www.hyundai-bngsteel.com,비철금속,비철금속,현대자동차
사조오양,6090,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",http://www.sajooy.com,식품,구제역/광우병 수혜,
한화투자증권,3530,"유가증권 위탁매매,자기매매,인수주선",http://www.koreastock.co.kr,증권,두나무 관련주,한화
삼화전기,9470,"콘덴서 제조,판매",http://www.samwha.co.kr,전기제품,전력저장장치(ESS),
SK증권,1510,"증권업,부동산 임대",http://www.sks.co.kr,증권,증권,SK
평화홀딩스,10770,지주회사,http://www.phhc.co.kr,자동차부품,수소차(연료전지/부품/충전소 등),
일신석재,7110,"건축석 제조,도소매/석공예,석공사",http://www.ilshinstone.co.kr,건축자재,남북경협,
KG동부제철,16380,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",http://www.kgdongbusteel.co.kr,철강,철강 주요종목,KG
아이에스동서,10780,"타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",http://www.isdongseo.co.kr,건설,리모델링/인테리어,
SH에너지화학,2360,"합성수지(PS/EPS,ABS수지) 제조",http://www.sh-enerchem.com,화학,셰일가스(Shale Gas),
대한화섬,3830,"화학섬유원사(FY,PTY,S.FIBER)제조",http://www.daehansf.co.kr,화학,화학섬유,태광
코리아써키트,7810,"인쇄회로기판,Module 제조/부동산(건물) 임대",http://www.kcg.co.kr,전자장비와기기,PCB(FPCB 등),영풍
신세계,4170,"백화점,할인점(E마트)",http://www.shinsegae.com,백화점과일반상점,소매유통,신세계
OCI,10060,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",http://www.oci.co.kr,화학,태양광에너지,OCI
삼일제약,520,"양약(부루펜,액티피드,포리부틴) 제조,도매",http://www.samil-pharm.com,제약,제약업체,
인스코비,6490,"시계,스마트그리드,도소매,소프트웨어개발",http://www.inscobee.com,다각화된통신서비스,스마트그리드(지능형전력망),
일성신약,3120,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",http://www.ilsung-ph.co.kr,제약,코로나19(카모스타트),
현대건설,720,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",http://www.hdec.kr,건설,건설 대표주,현대자동차
TCC스틸,2710,"석도강판,표면처리강판 제조,판매",http://www.tccsteel.com,철강,2차전지,
